weather_condition,temperature,distance,traffic_condition,time_of_day,chosen_mode,reasoning,serialized_query,serialized_with_label
heavy rain,24°C warm,8 km,heavy traffic,09:00 morning,car,"Car is best for heavy rain, as bike, motorbike, and transit are excluded.",Weather is heavy rain with a temperature of 24°C warm. Route distance is 8 km and traffic is heavy traffic. Trip starts at 09:00 morning.,Weather is heavy rain with a temperature of 24°C warm. Route distance is 8 km and traffic is heavy traffic. Trip starts at 09:00 morning. Transport mode is car.
light drizzle,30°C hot,10 km,moderate traffic,18:00 evening rush,motorbike,Motorbike is practical for 10km in light drizzle and avoids car deprioritization during rush hour.,Weather is light drizzle with a temperature of 30°C hot. Route distance is 10 km and traffic is moderate traffic. Trip starts at 18:00 evening rush.,Weather is light drizzle with a temperature of 30°C hot. Route distance is 10 km and traffic is moderate traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
light rain,38°C extreme heat,2 km,no traffic,00:00 late night,motorbike,"Motorbike is practical for 2km, as bike is excluded by rain and extreme heat, and transit by extreme heat.",Weather is light rain with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is no traffic. Trip starts at 00:00 late night.,Weather is light rain with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is no traffic. Trip starts at 00:00 late night. Transport mode is motorbike.
heavy rain,30°C hot,10 km,light traffic,18:00 evening rush,car,"Car is best for heavy rain, as bike, motorbike, and transit are excluded.",Weather is heavy rain with a temperature of 30°C hot. Route distance is 10 km and traffic is light traffic. Trip starts at 18:00 evening rush.,Weather is heavy rain with a temperature of 30°C hot. Route distance is 10 km and traffic is light traffic. Trip starts at 18:00 evening rush. Transport mode is car.
clear sky,30°C hot,30 km,light traffic,12:00 midday,motorbike,Motorbike is practical for 30km in clear weather and light traffic.,Weather is clear sky with a temperature of 30°C hot. Route distance is 30 km and traffic is light traffic. Trip starts at 12:00 midday.,Weather is clear sky with a temperature of 30°C hot. Route distance is 30 km and traffic is light traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
heavy rain,18°C mild,3 km,light traffic,00:00 late night,car,"Car is best for heavy rain, as bike, motorbike, and transit are excluded.",Weather is heavy rain with a temperature of 18°C mild. Route distance is 3 km and traffic is light traffic. Trip starts at 00:00 late night.,Weather is heavy rain with a temperature of 18°C mild. Route distance is 3 km and traffic is light traffic. Trip starts at 00:00 late night. Transport mode is car.
storm,35°C very hot,15 km,moderate traffic,00:00 late night,car,"Car is best for storms, as bike, motorbike, and transit are excluded.",Weather is storm with a temperature of 35°C very hot. Route distance is 15 km and traffic is moderate traffic. Trip starts at 00:00 late night.,Weather is storm with a temperature of 35°C very hot. Route distance is 15 km and traffic is moderate traffic. Trip starts at 00:00 late night. Transport mode is car.
heavy rain,24°C warm,3 km,heavy traffic,18:00 evening rush,car,"Car is best for heavy rain, as bike, motorbike, and transit are excluded.",Weather is heavy rain with a temperature of 24°C warm. Route distance is 3 km and traffic is heavy traffic. Trip starts at 18:00 evening rush.,Weather is heavy rain with a temperature of 24°C warm. Route distance is 3 km and traffic is heavy traffic. Trip starts at 18:00 evening rush. Transport mode is car.
clear sky,35°C very hot,2 km,light traffic,21:00 night,bike,"Bike is practical for 2km in clear sky, as 35°C is not extreme heat.",Weather is clear sky with a temperature of 35°C very hot. Route distance is 2 km and traffic is light traffic. Trip starts at 21:00 night.,Weather is clear sky with a temperature of 35°C very hot. Route distance is 2 km and traffic is light traffic. Trip starts at 21:00 night. Transport mode is bike.
fog,30°C hot,0.5 km,light traffic,18:00 evening rush,bike,"Bike is practical for 0.5km in fog, which is not an exclusion criterion.",Weather is fog with a temperature of 30°C hot. Route distance is 0.5 km and traffic is light traffic. Trip starts at 18:00 evening rush.,Weather is fog with a temperature of 30°C hot. Route distance is 0.5 km and traffic is light traffic. Trip starts at 18:00 evening rush. Transport mode is bike.
clear sky,35°C very hot,2 km,heavy traffic,21:00 night,bike,"Bike is practical for 2km in clear sky, as 35°C is not extreme heat.",Weather is clear sky with a temperature of 35°C very hot. Route distance is 2 km and traffic is heavy traffic. Trip starts at 21:00 night.,Weather is clear sky with a temperature of 35°C very hot. Route distance is 2 km and traffic is heavy traffic. Trip starts at 21:00 night. Transport mode is bike.
light rain,35°C very hot,30 km,no traffic,09:00 morning,motorbike,"Motorbike is practical for 30km in light rain, as bike is excluded by rain and distance.",Weather is light rain with a temperature of 35°C very hot. Route distance is 30 km and traffic is no traffic. Trip starts at 09:00 morning.,Weather is light rain with a temperature of 35°C very hot. Route distance is 30 km and traffic is no traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
clear sky,18°C mild,8 km,no traffic,00:00 late night,motorbike,Motorbike is the most practical for 8km in clear weather with no traffic.,Weather is clear sky with a temperature of 18°C mild. Route distance is 8 km and traffic is no traffic. Trip starts at 00:00 late night.,Weather is clear sky with a temperature of 18°C mild. Route distance is 8 km and traffic is no traffic. Trip starts at 00:00 late night. Transport mode is motorbike.
strong wind,38°C extreme heat,30 km,moderate traffic,09:00 morning,car,"Car is preferred for 30km in poor weather (extreme heat and strong wind), as transit and bike are excluded.",Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 30 km and traffic is moderate traffic. Trip starts at 09:00 morning.,Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 30 km and traffic is moderate traffic. Trip starts at 09:00 morning. Transport mode is car.
fog,30°C hot,1 km,light traffic,00:00 late night,bike,"Bike is practical for 1km in fog, which is not an exclusion criterion.",Weather is fog with a temperature of 30°C hot. Route distance is 1 km and traffic is light traffic. Trip starts at 00:00 late night.,Weather is fog with a temperature of 30°C hot. Route distance is 1 km and traffic is light traffic. Trip starts at 00:00 late night. Transport mode is bike.
strong wind,38°C extreme heat,1 km,moderate traffic,21:00 night,motorbike,"Motorbike is the most practical for 1km, as bike and transit are excluded by extreme heat.",Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 1 km and traffic is moderate traffic. Trip starts at 21:00 night.,Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 1 km and traffic is moderate traffic. Trip starts at 21:00 night. Transport mode is motorbike.
clear sky,12°C cold,3 km,moderate traffic,07:00 rush hour,bike,"Bike is practical for 3km in clear, mild weather, even during rush hour.",Weather is clear sky with a temperature of 12°C cold. Route distance is 3 km and traffic is moderate traffic. Trip starts at 07:00 rush hour.,Weather is clear sky with a temperature of 12°C cold. Route distance is 3 km and traffic is moderate traffic. Trip starts at 07:00 rush hour. Transport mode is bike.
light drizzle,35°C very hot,30 km,gridlock,12:00 midday,motorbike,"Motorbike is best for navigating 30km in gridlock, as bike is excluded by rain and distance, and car is deprioritized.",Weather is light drizzle with a temperature of 35°C very hot. Route distance is 30 km and traffic is gridlock. Trip starts at 12:00 midday.,Weather is light drizzle with a temperature of 35°C very hot. Route distance is 30 km and traffic is gridlock. Trip starts at 12:00 midday. Transport mode is motorbike.
overcast,35°C very hot,3 km,moderate traffic,09:00 morning,bike,"Bike is practical for 3km in overcast weather, as 35°C is not extreme heat.",Weather is overcast with a temperature of 35°C very hot. Route distance is 3 km and traffic is moderate traffic. Trip starts at 09:00 morning.,Weather is overcast with a temperature of 35°C very hot. Route distance is 3 km and traffic is moderate traffic. Trip starts at 09:00 morning. Transport mode is bike.
overcast,30°C hot,1 km,moderate traffic,07:00 rush hour,bike,"Bike is ideal for a 1km distance in moderate weather, especially during rush hour to avoid traffic.",Weather is overcast with a temperature of 30°C hot. Route distance is 1 km and traffic is moderate traffic. Trip starts at 07:00 rush hour.,Weather is overcast with a temperature of 30°C hot. Route distance is 1 km and traffic is moderate traffic. Trip starts at 07:00 rush hour. Transport mode is bike.
strong wind,35°C very hot,10 km,moderate traffic,07:00 rush hour,motorbike,"Motorbike is practical for 10km in hot, windy conditions during rush hour, avoiding car delays.",Weather is strong wind with a temperature of 35°C very hot. Route distance is 10 km and traffic is moderate traffic. Trip starts at 07:00 rush hour.,Weather is strong wind with a temperature of 35°C very hot. Route distance is 10 km and traffic is moderate traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
storm,35°C very hot,15 km,moderate traffic,00:00 late night,car,"Car is the most practical choice for a 15km trip during a storm, offering protection from the elements.",Weather is storm with a temperature of 35°C very hot. Route distance is 15 km and traffic is moderate traffic. Trip starts at 00:00 late night.,Weather is storm with a temperature of 35°C very hot. Route distance is 15 km and traffic is moderate traffic. Trip starts at 00:00 late night. Transport mode is car.
fog,35°C very hot,20 km,heavy traffic,12:00 midday,motorbike,"Motorbike is generally more efficient for 20km in heavy traffic, even with fog, compared to a car.",Weather is fog with a temperature of 35°C very hot. Route distance is 20 km and traffic is heavy traffic. Trip starts at 12:00 midday.,Weather is fog with a temperature of 35°C very hot. Route distance is 20 km and traffic is heavy traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
light rain,24°C warm,0.5 km,gridlock,18:00 evening rush,motorbike,Motorbike is the most practical for a very short 0.5km distance in light rain and gridlock.,Weather is light rain with a temperature of 24°C warm. Route distance is 0.5 km and traffic is gridlock. Trip starts at 18:00 evening rush.,Weather is light rain with a temperature of 24°C warm. Route distance is 0.5 km and traffic is gridlock. Trip starts at 18:00 evening rush. Transport mode is motorbike.
light rain,30°C hot,0.5 km,heavy traffic,18:00 evening rush,motorbike,Motorbike is the most practical for a very short 0.5km distance in light rain and heavy traffic.,Weather is light rain with a temperature of 30°C hot. Route distance is 0.5 km and traffic is heavy traffic. Trip starts at 18:00 evening rush.,Weather is light rain with a temperature of 30°C hot. Route distance is 0.5 km and traffic is heavy traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
overcast,18°C mild,20 km,gridlock,00:00 late night,motorbike,"Motorbike is efficient for 20km in gridlock, even late at night, in mild weather.",Weather is overcast with a temperature of 18°C mild. Route distance is 20 km and traffic is gridlock. Trip starts at 00:00 late night.,Weather is overcast with a temperature of 18°C mild. Route distance is 20 km and traffic is gridlock. Trip starts at 00:00 late night. Transport mode is motorbike.
storm,12°C cold,5 km,heavy traffic,00:00 late night,car,"Car is the only practical option for a 5km trip during a storm, providing safety and shelter.",Weather is storm with a temperature of 12°C cold. Route distance is 5 km and traffic is heavy traffic. Trip starts at 00:00 late night.,Weather is storm with a temperature of 12°C cold. Route distance is 5 km and traffic is heavy traffic. Trip starts at 00:00 late night. Transport mode is car.
strong wind,38°C extreme heat,2 km,moderate traffic,18:00 evening rush,motorbike,"Motorbike is the most practical for 2km in extreme heat during rush hour, as bike and transit are excluded and car is deprioritized.",Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is moderate traffic. Trip starts at 18:00 evening rush.,Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is moderate traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
overcast,38°C extreme heat,0.5 km,heavy traffic,09:00 morning,motorbike,Motorbike is the most practical for a very short 0.5km distance in extreme heat and heavy traffic.,Weather is overcast with a temperature of 38°C extreme heat. Route distance is 0.5 km and traffic is heavy traffic. Trip starts at 09:00 morning.,Weather is overcast with a temperature of 38°C extreme heat. Route distance is 0.5 km and traffic is heavy traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
heavy rain,35°C very hot,2 km,heavy traffic,21:00 night,car,"Car is best for heavy rain, providing protection for the 2km journey.",Weather is heavy rain with a temperature of 35°C very hot. Route distance is 2 km and traffic is heavy traffic. Trip starts at 21:00 night.,Weather is heavy rain with a temperature of 35°C very hot. Route distance is 2 km and traffic is heavy traffic. Trip starts at 21:00 night. Transport mode is car.
storm,12°C cold,15 km,gridlock,09:00 morning,car,"Car is the only practical option for a 15km trip during a storm, despite rush hour and gridlock.",Weather is storm with a temperature of 12°C cold. Route distance is 15 km and traffic is gridlock. Trip starts at 09:00 morning.,Weather is storm with a temperature of 12°C cold. Route distance is 15 km and traffic is gridlock. Trip starts at 09:00 morning. Transport mode is car.
light rain,35°C very hot,8 km,light traffic,12:00 midday,motorbike,"Motorbike is efficient for 8km in light rain and light traffic, as bikes are excluded in rain.",Weather is light rain with a temperature of 35°C very hot. Route distance is 8 km and traffic is light traffic. Trip starts at 12:00 midday.,Weather is light rain with a temperature of 35°C very hot. Route distance is 8 km and traffic is light traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
storm,12°C cold,8 km,no traffic,09:00 morning,car,"Car is the only practical option for an 8km trip during a storm, ensuring safety and shelter.",Weather is storm with a temperature of 12°C cold. Route distance is 8 km and traffic is no traffic. Trip starts at 09:00 morning.,Weather is storm with a temperature of 12°C cold. Route distance is 8 km and traffic is no traffic. Trip starts at 09:00 morning. Transport mode is car.
storm,30°C hot,5 km,heavy traffic,18:00 evening rush,car,"Car is the only practical option for a 5km trip during a storm, offering protection from the elements.",Weather is storm with a temperature of 30°C hot. Route distance is 5 km and traffic is heavy traffic. Trip starts at 18:00 evening rush.,Weather is storm with a temperature of 30°C hot. Route distance is 5 km and traffic is heavy traffic. Trip starts at 18:00 evening rush. Transport mode is car.
heavy rain,18°C mild,1 km,moderate traffic,18:00 evening rush,car,"Car is best for heavy rain, providing protection for the 1km journey during rush hour.",Weather is heavy rain with a temperature of 18°C mild. Route distance is 1 km and traffic is moderate traffic. Trip starts at 18:00 evening rush.,Weather is heavy rain with a temperature of 18°C mild. Route distance is 1 km and traffic is moderate traffic. Trip starts at 18:00 evening rush. Transport mode is car.
overcast,38°C extreme heat,30 km,gridlock,00:00 late night,car,"Car offers comfort and protection for a 30km journey in extreme heat and gridlock, especially at night.",Weather is overcast with a temperature of 38°C extreme heat. Route distance is 30 km and traffic is gridlock. Trip starts at 00:00 late night.,Weather is overcast with a temperature of 38°C extreme heat. Route distance is 30 km and traffic is gridlock. Trip starts at 00:00 late night. Transport mode is car.
light rain,30°C hot,0.5 km,gridlock,15:00 afternoon,motorbike,Motorbike is the most practical for a very short 0.5km distance in light rain and gridlock.,Weather is light rain with a temperature of 30°C hot. Route distance is 0.5 km and traffic is gridlock. Trip starts at 15:00 afternoon.,Weather is light rain with a temperature of 30°C hot. Route distance is 0.5 km and traffic is gridlock. Trip starts at 15:00 afternoon. Transport mode is motorbike.
storm,18°C mild,2 km,no traffic,21:00 night,car,"Car is the only practical option for a 2km trip during a storm, ensuring safety and shelter.",Weather is storm with a temperature of 18°C mild. Route distance is 2 km and traffic is no traffic. Trip starts at 21:00 night.,Weather is storm with a temperature of 18°C mild. Route distance is 2 km and traffic is no traffic. Trip starts at 21:00 night. Transport mode is car.
overcast,30°C hot,15 km,no traffic,15:00 afternoon,motorbike,"Motorbike is efficient for 15km with no traffic in good weather, as bikes are excluded for this distance.",Weather is overcast with a temperature of 30°C hot. Route distance is 15 km and traffic is no traffic. Trip starts at 15:00 afternoon.,Weather is overcast with a temperature of 30°C hot. Route distance is 15 km and traffic is no traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
storm,24°C warm,0.5 km,gridlock,07:00 rush hour,car,"Car is best for storms, despite rush hour, as other modes are excluded.",Weather is storm with a temperature of 24°C warm. Route distance is 0.5 km and traffic is gridlock. Trip starts at 07:00 rush hour.,Weather is storm with a temperature of 24°C warm. Route distance is 0.5 km and traffic is gridlock. Trip starts at 07:00 rush hour. Transport mode is car.
storm,38°C extreme heat,1 km,heavy traffic,07:00 rush hour,car,"Car is the only practical option due to the storm and extreme heat, despite rush hour.",Weather is storm with a temperature of 38°C extreme heat. Route distance is 1 km and traffic is heavy traffic. Trip starts at 07:00 rush hour.,Weather is storm with a temperature of 38°C extreme heat. Route distance is 1 km and traffic is heavy traffic. Trip starts at 07:00 rush hour. Transport mode is car.
overcast,12°C cold,10 km,light traffic,15:00 afternoon,motorbike,Motorbike is efficient for 10km in light traffic and suitable weather.,Weather is overcast with a temperature of 12°C cold. Route distance is 10 km and traffic is light traffic. Trip starts at 15:00 afternoon.,Weather is overcast with a temperature of 12°C cold. Route distance is 10 km and traffic is light traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
strong wind,18°C mild,5 km,heavy traffic,18:00 evening rush,motorbike,"Motorbike is agile in heavy traffic for 5km, and strong wind is not an exclusion.",Weather is strong wind with a temperature of 18°C mild. Route distance is 5 km and traffic is heavy traffic. Trip starts at 18:00 evening rush.,Weather is strong wind with a temperature of 18°C mild. Route distance is 5 km and traffic is heavy traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
light drizzle,30°C hot,10 km,gridlock,21:00 night,motorbike,Motorbike is highly effective for navigating 10km in gridlock during light drizzle.,Weather is light drizzle with a temperature of 30°C hot. Route distance is 10 km and traffic is gridlock. Trip starts at 21:00 night.,Weather is light drizzle with a temperature of 30°C hot. Route distance is 10 km and traffic is gridlock. Trip starts at 21:00 night. Transport mode is motorbike.
storm,24°C warm,1 km,gridlock,21:00 night,car,"Car is the best option for a storm, especially for a short distance in gridlock.",Weather is storm with a temperature of 24°C warm. Route distance is 1 km and traffic is gridlock. Trip starts at 21:00 night.,Weather is storm with a temperature of 24°C warm. Route distance is 1 km and traffic is gridlock. Trip starts at 21:00 night. Transport mode is car.
clear sky,38°C extreme heat,8 km,moderate traffic,12:00 midday,motorbike,"Motorbike is practical for 8km in moderate traffic, and extreme heat only excludes bikes.",Weather is clear sky with a temperature of 38°C extreme heat. Route distance is 8 km and traffic is moderate traffic. Trip starts at 12:00 midday.,Weather is clear sky with a temperature of 38°C extreme heat. Route distance is 8 km and traffic is moderate traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
light drizzle,12°C cold,8 km,light traffic,18:00 evening rush,motorbike,"Motorbike is efficient for 8km in light traffic during rush hour, and light drizzle is not an exclusion.",Weather is light drizzle with a temperature of 12°C cold. Route distance is 8 km and traffic is light traffic. Trip starts at 18:00 evening rush.,Weather is light drizzle with a temperature of 12°C cold. Route distance is 8 km and traffic is light traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
light drizzle,38°C extreme heat,30 km,moderate traffic,18:00 evening rush,motorbike,Motorbike is suitable for 30km and can navigate moderate traffic better than a deprioritized car during rush hour.,Weather is light drizzle with a temperature of 38°C extreme heat. Route distance is 30 km and traffic is moderate traffic. Trip starts at 18:00 evening rush.,Weather is light drizzle with a temperature of 38°C extreme heat. Route distance is 30 km and traffic is moderate traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
overcast,30°C hot,1 km,moderate traffic,21:00 night,bike,Bike is the most practical and quick option for a 1km trip in suitable weather.,Weather is overcast with a temperature of 30°C hot. Route distance is 1 km and traffic is moderate traffic. Trip starts at 21:00 night.,Weather is overcast with a temperature of 30°C hot. Route distance is 1 km and traffic is moderate traffic. Trip starts at 21:00 night. Transport mode is bike.
light drizzle,38°C extreme heat,10 km,no traffic,07:00 rush hour,motorbike,"Motorbike is suitable for 10km in light drizzle, and car is deprioritized during rush hour.",Weather is light drizzle with a temperature of 38°C extreme heat. Route distance is 10 km and traffic is no traffic. Trip starts at 07:00 rush hour.,Weather is light drizzle with a temperature of 38°C extreme heat. Route distance is 10 km and traffic is no traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
overcast,38°C extreme heat,15 km,light traffic,09:00 morning,motorbike,"Motorbike is efficient for 15km in light traffic, and extreme heat only excludes bikes.",Weather is overcast with a temperature of 38°C extreme heat. Route distance is 15 km and traffic is light traffic. Trip starts at 09:00 morning.,Weather is overcast with a temperature of 38°C extreme heat. Route distance is 15 km and traffic is light traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
heavy rain,18°C mild,3 km,no traffic,21:00 night,car,"Car is the best option for heavy rain, especially for a short distance with no traffic.",Weather is heavy rain with a temperature of 18°C mild. Route distance is 3 km and traffic is no traffic. Trip starts at 21:00 night.,Weather is heavy rain with a temperature of 18°C mild. Route distance is 3 km and traffic is no traffic. Trip starts at 21:00 night. Transport mode is car.
